Mot (Nikkud),Dictionnaire,Sens (Attendu),Correct?,Meme exact?,Correction,Modele,Statut manuel,Note manuelle,Notes
כְּגוֹן,כְּגוֹן אֲנָא - כָּמוֹנִי,par exemple,✓,-,-,,,,"Vocalisation correcte : dagesh au kaf, sheva, holam sur ג, kamatz sur נ, sens « par exemple » confirmé par les occurrences du Talmud"
כִּדְבָעֵי,,comme il a demandé/comme il voulait,✓,-,-,,,,Vocalisation conforme à l’usage talmudique pour le sens comme il a demandé/comme il voulait
כְּוָותִי,כְּוָותִי - כָּמוֹנִי,comme moi (comme mon avis),✓,-,-,,,,"Vocalisation correcte, correspond au sens « comme moi » (כָּמוֹנִי)."
כְּוָותֵיהּ,כְּוָותֵיהּ - כָּמוֹהוּ,comme lui (comme son avis),✓,-,-,,,,"Vocalisation conforme au texte talmudique, correspond au sens « comme lui »"
כּוּלֵּי הַאי,כּוּלֵּי הַאי - כֹּל זֶה; כָּל כַּךְ,tellement,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : כּוּלֵּי הַאי (dagesh dans כּ, וּ, לּ, tzere sous ל) signifiant « tellement » en araméen."
כּוּלֵּי הַאי לָא חָיְישִׁינַן,כּוּלֵּי הַאי - כֹּל זֶה; כָּל כַּךְ,on ne craint pas tellement,✗,-,-,openai/gpt-oss-120b,,,"«האי» s’écrit הָאִי (patach sous ה, hiriq sous א) et le verbe est חָיְשִׁינַן (chet‑kamatz, shin‑dagesh‑hiriq), pas חָיְישִׁינַן Correction IA rejetee car elle modifie le texte arameen au lieu du seul nikkud."
כּוּלֵּי עָלְמָא,כּוּלֵּי עָלְמָא - כָּל הָעוֹלָם,tout le monde,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : כּוּלֵּי avec dagesh, shuruk, dagesh, tzere; עָלְמָא avec qamatz, shva, qamatz."
כּוּתִי,,homme de la tribu des כותים,✓,-,-,,,,"Vocalisation correcte : kaf avec dagesh, vav shuruk, tav avec hiriq, yod comme mater lectionis, correspondant à 'Cuthite'."
כּוּתִים,,tribu qui était à l'écart du peuple juif/des hommes Kouti,✓,-,-,,,,"Vocalisation correcte : כּוּתִים (pluriel de כּוּת, désignant les Cuthites, correspondant au sens «tribu à l'écart»)."
כִּי אֲתָא,כִּי אוֹרְחֵיהּ - כְּדַרְכּוֹ,quand il est venu,✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : כִּי (kaf dagesh, hiriq) + אֲתָא (aleph avec hataf patach, tav kamatz, aleph) signifiant « quand il est venu »."
כִּי הַאי גַּוָּונָא,כִּי הַאי גַּוָּונָא - כְּגוֹן זֶה,de cette manière,✗,false,כִּי הַאי גַּוְונָא,qwen/qwen3-32b,,,Le mot correct est 'גַּוְונָא' (avec chiri sur la deuxième voyelle) et non 'גַּוָּונָא' (avec patach et dagesh). Le dagesh dans 'גַּוָּונָא' est incorrect car le ג ne porte pas de dagesh dans cette forme. Les contextes de la Guemara montrent systématiquement 'גַּוְונָא' avec chiri.
כִּי הֵיכִי,כִּי הֵיכִי ד - כְּמוֹ שֶׁ-,afin que/comme,✓,-,-,qwen/qwen3-32b,,,"La vocalisation étudiante est correcte : כִּי (patach) + הֵיכִי (tzeirei + dagesh) correspond aux usages dans Berakhot 6a, 8a et 10a pour le sens 'comme si'/'afin que'."
כֵּיוָן,כיון - כיון,puisque,✓,-,-,,,,"Vocalisation conforme aux éditions Steinsaltz, כֵּיוָן signifie «puisque» en araméen babylonien."
כֵּיצַד,,comment,✗,false,כֵיצַד,,,,"Le kaf ne porte pas de dagesh ; la forme correcte est כֵיצַד (tzéré sous ק, patach sous צ) pour le sens « comment »."
כָּל,כָּל אֵימָת - כָּל זְמַן; כָּל פַּעַם,tous/tout,✓,-,-,,,,"Le kamatz sous le kaf (avec dagesh) correspond à l'araméen « כָּל » = « tout, tous », conforme aux occurrences citées"
כֹּל כְּמִינֵּיהּ,כֹּל כְּמִינֵיהּ - הַכֹּל הֵימֶנּוּ?,est-ce la même chose? (זה בכוחו),✓,-,-,qwen/qwen3-32b,,,La vocalisation étudiante est correcte : כְּמִינֵּיהּ (tzeirei sur נ et patakh sur ה) correspond bien au sens visé "cela est-il la même chose ?" dans les contextes gemarriques. Les formes alternatives comme כְּמִינֵיהוֹן (avec וֹן) ne s'appliquent pas ici.
כׇּל שֶׁכֵּן,כָּל אֵימָת - כָּל זְמַן; כָּל פַּעַם,à plus forte raison,✗,false,כֹּל שֶׁכֵּן,openai/gpt-oss-120b,,,"«כל» s’écrit avec cholam (כֹּל), pas qamatz; le reste «שֶׁכֵּן» est correct pour le sens «à plus forte raison»."
כְּלָל,כְּלָלָא - כְּלָל,cela vient inclure/un terme qui inclut/un principe/une généralité/du tout,✓,-,-,,,,"Le nikkud (dagesh dans le kaf, sheva sous le kaf, kamatz sous le lamed) correspond à l’adverbe araméen «כלל» signifiant «en général, principe général»."
כַּמָּה,כְּמַה (זבחים כד א; מנחות יז א)   - כְּמוֹ; כְּמִי,combien,✗,false,כְּמַה,,,,"Le mot araméen «כמה» signifiant «combien» se vocalise généralement כְּמַה (sheva sous ק, patach sous מ). La forme donnée כַּמָּה est incorrecte."
כְּנֶגֶד,,par rapport/ face à,✓,-,-,,,,"«כְּנֶגֶד» est la forme prépositionnelle araméenne signifiant «face à, par rapport à», la vocalisation ke‑neged (kaf avec dagesh et shva, nun avec segol, gimmel avec segol) est correcte."
כֶּסֶף,,de l'argent,✓,-,-,,,,"Vocalisation correcte : dagesh dans כּ, segol sous כּ et ס, aucune voyelle sur ף, correspondant à « argent »."
כְּשֵׁם,,de même (que),✓,-,-,,,,"Vocalisation correcte : kaf avec dagesh et sheva, shin avec tzere, mem final, correspondant à la locution araméenne « כְּשֵׁם » signifiant « de même que »."
לָא פְּלִיגִי,לָא - לֹא,ils ne discutent pas,✓,-,-,openai/gpt-oss-120b,,,"לָא est la négation araméenne avec kamatz; פְּלִיגִי est le participe pluriel de פלג «discuter», la vocalisation (sheva, hiriq, hiriq) est correcte pour le sens «ils ne discutent pas»."
לָא קַשְׁיָא,לָא - לֹא,ce n'est pas une question (car...),✓,-,-,openai/gpt-oss-120b,,,"Vocalisation correcte : לָא קַשְׁיָא, signifiant « pas de difficulté », correspondant au sens français visé."
לָא שְׁנָא,לָא שְׁנָא - לא שָׁנָה (מלשון שינוי),ça ne change pas,✓,-,-,openai/gpt-oss-120b,,,Vocalisation correcte : לָא שְׁנָא correspond au sens « ça ne change pas » en araméen babylonien
לָאו,לָאו - לֹא,n'est-ce pas/interdit/négation,✓,-,-,,,,"לָאו est la forme araméenne de la négation, vocalisée avec kamatz sous ל et ו sans voyelle, équivalente à לֹא en hébreu."
לְאֵיתוֹיֵי מַאי,לְאַיְתּוֹיֵי - לְהָבִיא; לְרַבּוֹת,cela vient inclure quoi?,✓,-,-,qwen/qwen3-32b,,,"La vocalisation étudiante correspond exactement aux formes attestées dans les contextes talmudiques (Shabbat 101a, Yevamot 21b, Nedarim 84b) pour le sens 'cela vient inclure quoi?'. Les voyelles et les signes de prosodie sont conformes aux usages araméens du Talmud babylonien."
לְבַסּוֹף,,à la fin,✓,-,-,,,,"Vocalisation correcte pour le sens «à la fin» : patach sous ב, dagesh dans ס, cholam sous ו, aucune modification des consonnes"
לְדִידֵיהּ,לְדִידֵיהּ - לוֹ; לְעַצְמוֹ; אוֹתוֹ,pour lui/à lui,✓,-,-,,,,Vocalisation correcte : לְדִידֵיהּ signifie « pour lui/à lui » en araméen babylonien
לְדִידָךְ,לְדִידָךְ - לְךָ; לְדַעְתְּךָ,selon toi/pour toi,✓,-,-,,,,Vocalisation correcte : לְ (sheva) דִ (hiriq) י (yod) דָ (kamatz) ךְ (sheva). Corresponds au sens « selon toi/pour toi ».
לְדִידַן,לְדִידַן - לָנוּ; לְדַעְתֵּנוּ,selon nous/pour nous,✓,-,-,,,,Vocalisation conforme à l’usage talmudique pour le sens « selon nous »
לֶהֱוֵי,,que ce soit,✓,-,-,,,,"Vocalisation correcte : segol sous ל, hataf segol sous ה, tséré sous ו, aucune voyelle sous י, correspondant à l’araméen « lehvei » = « que ce soit »."
לֵיכָּא,לִיכָא (שבת קלד א)   - עִרְבּוּב,il n'y a pas,✓,-,-,,,,Leikka (לֵיכָּא) signifie « il n’y a pas » en araméen babylonien ; la vocalisation avec tsere sous ל et dagesh dans כּ est la forme attestée dans la Guemara.
לֵילֵי,לֵילֵי - לֵילוֹת,les nuits,✓,-,-,,,,"לֵילֵי est le pluriel construct araméen de לֵילָא «nuit», correspondant à «les nuits» en français."
לֵילְיָא,לֵילְיָא - לַיְלָה,la nuit,✓,-,-,,,,"Vocalisation correcte : לֵילְיָא correspond à l’aramaïque « night », sens « la nuit », conforme aux sources du Talmud."
לֵימָא,לֵימָא - יֹאמַר; נֹאמַר,on n'a qu'à dire/peut-être,✓,-,-,,,,"Le nikkud לֵימָא (lamed‑tzere, yod, mem‑kamatz, aleph) est la forme usuelle signifiant «on dit / peut‑être», conforme au sens français visé"
לֵימָא כְתַנָּאֵי,לֵימָא כְתַנָּאֵי - נֹאמַר כַּתַּנָּאִים,est-ce que c'est la même discussion que les tanaïm?,✗,false,לֵימָא כְּתַנָּאֵי,openai/gpt-oss-120b,,,Le préfixe «כְּ» requiert un dagesh; la forme correcte est לֵימָא כְּתַנָּאֵי
לִימֵּד,,il a appris,✓,-,-,,,,"לִימֵּד est la forme qal parfait 3ms du verbe araméen ל‑מ‑ד «apprendre», correspondant à «il a appris»."
לִישָּׁנָא אַחֲרִינָא,לִישָּׁנָא אַחֲרִינָא - לָשׁוֹן אַחֵר (=נוסח אחר),autre version,✓,-,-,openai/gpt-oss-120b,,,Nikkud conforme aux sources talmudiques pour le sens «autre version»
